tourney_name,surface,tourney_level,date,winner_id,winner_name,winner_state,loser_id,loser_name,loser_state,closest,days_bt_x_and_y,winner_rank,winner_points,loser_rank,loser_points
Atp Cup,Hard,A,2020-01-06,105550,Guido Pella,ARG,111794,Kamil Majchrzak,POL,2020-01-06,0 days,25.0,1530.0,97.0,575.0
Atp Cup,Hard,A,2020-01-06,126774,Stefanos Tsitsipas,GRE,100644,Alexander Zverev,GER,2020-01-06,0 days,6.0,5300.0,7.0,3345.0
Atp Cup,Hard,A,2020-01-06,105526,Jan Lennard Struff,GER,133018,Michail Pervolarakis,CYP,2020-01-06,0 days,35.0,1245.0,486.0,62.0
Atp Cup,Hard,A,2020-01-06,133430,Denis Shapovalov,CAN,100644,Alexander Zverev,GER,2020-01-06,0 days,14.0,2050.0,7.0,3345.0
Atp Cup,Hard,A,2020-01-06,105526,Jan Lennard Struff,GER,200000,Felix Auger Aliassime,CAN,2020-01-06,0 days,35.0,1245.0,21.0,1636.0
Atp Cup,Hard,A,2020-01-06,200282,Alex De Minaur,AUS,100644,Alexander Zverev,GER,2020-01-06,0 days,18.0,1775.0,7.0,3345.0
Atp Cup,Hard,A,2020-01-06,106401,Nick Kyrgios,AUS,105526,Jan Lennard Struff,GER,2020-01-06,0 days,29.0,1375.0,35.0,1245.0
Atp Cup,Hard,A,2020-01-06,133430,Denis Shapovalov,CAN,126774,Stefanos Tsitsipas,GRE,2020-01-06,0 days,14.0,2050.0,6.0,5300.0
Atp Cup,Hard,A,2020-01-06,200000,Felix Auger Aliassime,CAN,133018,Michail Pervolarakis,CYP,2020-01-06,0 days,21.0,1636.0,486.0,62.0
Atp Cup,Hard,A,2020-01-06,106401,Nick Kyrgios,AUS,126774,Stefanos Tsitsipas,GRE,2020-01-06,0 days,29.0,1375.0,6.0,5300.0
Atp Cup,Hard,A,2020-01-06,105357,John Millman,AUS,133018,Michail Pervolarakis,CYP,2020-01-06,0 days,48.0,1026.0,486.0,62.0
Atp Cup,Hard,A,2020-01-06,200282,Alex De Minaur,AUS,133430,Denis Shapovalov,CAN,2020-01-06,0 days,18.0,1775.0,14.0,2050.0
Atp Cup,Hard,A,2020-01-06,105357,John Millman,AUS,200000,Felix Auger Aliassime,CAN,2020-01-06,0 days,48.0,1026.0,21.0,1636.0
Doha,Hard,A,2020-01-06,126094,Andrey Rublev,RUS,144895,Corentin Moutet,FRA,2020-01-06,0 days,23.0,1584.0,81.0,638.0
Doha,Hard,A,2020-01-06,144895,Corentin Moutet,FRA,104527,Stan Wawrinka,SUI,2020-01-06,0 days,81.0,638.0,15.0,1955.0
Doha,Hard,A,2020-01-06,126094,Andrey Rublev,RUS,200175,Miomir Kecmanovic,SRB,2020-01-06,0 days,23.0,1584.0,62.0,881.0
Doha,Hard,A,2020-01-06,104527,Stan Wawrinka,SUI,105379,Aljaz Bedene,SLO,2020-01-06,0 days,15.0,1955.0,58.0,905.0
Doha,Hard,A,2020-01-06,144895,Corentin Moutet,FRA,104269,Fernando Verdasco,ESP,2020-01-06,0 days,81.0,638.0,49.0,1025.0
Doha,Hard,A,2020-01-06,200175,Miomir Kecmanovic,SRB,105916,Marton Fucsovics,HUN,2020-01-06,0 days,62.0,881.0,70.0,790.0
Doha,Hard,A,2020-01-06,126094,Andrey Rublev,RUS,105732,Pierre Hugues Herbert,FRA,2020-01-06,0 days,23.0,1584.0,65.0,840.0
Doha,Hard,A,2020-01-06,104527,Stan Wawrinka,SUI,104871,Jeremy Chardy,FRA,2020-01-06,0 days,15.0,1955.0,54.0,920.0
Doha,Hard,A,2020-01-06,105379,Aljaz Bedene,SLO,122330,Alexander Bublik,KAZ,2020-01-06,0 days,58.0,905.0,55.0,919.0
Doha,Hard,A,2020-01-06,144895,Corentin Moutet,FRA,105683,Milos Raonic,CAN,2020-01-06,0 days,81.0,638.0,32.0,1305.0
Doha,Hard,A,2020-01-06,104269,Fernando Verdasco,ESP,105936,Filip Krajinovic,SRB,2020-01-06,0 days,49.0,1025.0,40.0,1148.0
Doha,Hard,A,2020-01-06,105916,Marton Fucsovics,HUN,117356,Cem Ilkel,TUR,2020-01-06,0 days,70.0,790.0,279.0,144.0
Doha,Hard,A,2020-01-06,200175,Miomir Kecmanovic,SRB,104542,Jo-Wilfried Tsonga,FRA,2020-01-06,0 days,62.0,881.0,30.0,1340.0
Doha,Hard,A,2020-01-06,105732,Pierre Hugues Herbert,FRA,111513,Laslo Djere,SRB,2020-01-06,0 days,65.0,840.0,39.0,1151.0
Doha,Hard,A,2020-01-06,126094,Andrey Rublev,RUS,105062,Mikhail Kukushkin,KAZ,2020-01-06,0 days,23.0,1584.0,66.0,816.0
Doha,Hard,A,2020-01-06,104871,Jeremy Chardy,FRA,106296,Gregoire Barrere,FRA,2020-01-06,0 days,54.0,920.0,83.0,636.0
Doha,Hard,A,2020-01-06,105379,Aljaz Bedene,SLO,144707,Mikael Ymer,SWE,2020-01-06,0 days,58.0,905.0,76.0,681.0
Doha,Hard,A,2020-01-06,122330,Alexander Bublik,KAZ,105173,Adrian Mannarino,FRA,2020-01-06,0 days,55.0,919.0,43.0,1111.0
Doha,Hard,A,2020-01-06,144895,Corentin Moutet,FRA,105815,Tennys Sandgren,USA,2020-01-06,0 days,81.0,638.0,68.0,803.0
Doha,Hard,A,2020-01-06,104269,Fernando Verdasco,ESP,104665,Pablo Andujar,ESP,2020-01-06,0 days,49.0,1025.0,64.0,867.0
Doha,Hard,A,2020-01-06,105936,Filip Krajinovic,SRB,106378,Kyle Edmund,GBR,2020-01-06,0 days,40.0,1148.0,69.0,800.0
