id,name,state,rank,points
105065,Tim Smyczek,USA,355,107
117353,Duck Hee Lee,KOR,238,199
202385,Jenson Brooksby,USA,269,159
105577,Vasek Pospisil,CAN,149,360
105842,Di Wu,CHN,317,126
111190,Zhizhen Zhang,CHN,138,388
104424,Go Soeda,JPN,121,461
110748,Nikola Milojevic,SRB,155,334
200553,Alen Avidzba,RUS,420,81
104586,Lukas Rosol,CZE,180,285
105216,Yuichi Sugita,JPN,103,561
126149,Gianluca Mager,ITA,118,473
105985,Darian King,BAR,166,305
105497,Jose Hernandez,DOM,284,144
105877,Emilio Gomez,ECU,146,364
105933,Roberto Quiroz,ECU,266,167
201995,Cayetano March,ECU,725,25
106227,Ji Sung Nam,KOR,247,192
122109,Sanjar Fayziev,UZB,417,81
133975,Benjamin Hassan,GER,312,128
127300,Jurabek Karimov,UZB,622,35
200325,Emil Ruusuvuori,FIN,123,459
207797,Jonas Forejtek,CZE,536,49
105806,Mirza Basic,BIH,294,137
105757,Sandro Ehrat,SUI,331,117
105413,Andrej Martin,SVK,107,528
105436,Markus Eriksson,SWE,293,138
108739,Wilfredo Gonzalez,GUA,1088,7
105156,Federico Zeballos,BOL,545,48
105688,Manuel Sanchez,MEX,838,16
106412,Lucas Gomez,MEX,992,10
122669,Juan Pablo Varillas,PER,143,372
105656,Marcelo Arevalo,ESA,353,108
126190,Nicolas Alvarez,PER,301,132
208055,Ajeet Rai,NZL,1059,8
144650,Rhett Purcell,GBR,929,12
209188,Ari Fahresi,INA,0,0
207139,Palaphoom Kovapitukted,THA,1213,5
106397,Wishaya Trongcharoenchaikul,THA,625,35
200460,John Bryan Decasa Otico,PHI,0,0
126555,Tung Lin Wu,TPE,235,205
202358,Chun Hsin Tseng,TPE,305,131
117356,Cem Ilkel,TUR,283,144
208029,Holger Rune,DEN,1019,9
105633,Mohamed Safwat,EGY,175,291
104467,Lamine Ouahab,ALG,651,31
105827,Laurynas Grigelis,LTU,418,81
106223,Aleksandre Metreveli,GEO,679,29
111761,Benjamin Lock,ZIM,485,63
106021,Dragos Dima,ROU,800,19
202262,Filip Cristian Jianu,ROU,426,78
106220,Dimitar Kuzmanov,BUL,423,80
202475,Philip Henning,RSA,0,0
106293,Kimmer Coppejans,BEL,160,328
104810,Zhe Li,CHN,193,261
105292,Alejandro Gonzalez,COL,468,66
105902,James Duckworth,AUS,100,576
122570,Mubarak Shannan Zayid,QAT,0,0
111459,Arjun Kadhe,IND,597,39
105155,Pedro Sousa,POR,140,376
106283,Mitchell Krueger,USA,167,304
104563,Luca Vanni,ITA,306,130
105147,Tatsuma Ito,JPN,147,362
105163,Gleb Sakharov,FRA,414,82
106058,Jack Sock,USA,0,0
106186,Jason Kubler,AUS,261,172
104122,Carlos Berlocq,ARG,507,57
105074,Ruben Bemelmans,BEL,260,172
200247,Alexandar Lazarov,BUL,517,53
202090,Adrian Andreev,BUL,658,31
104297,Rogerio Dutra Silva,BRA,236,200
202103,Francisco Cerundolo,ARG,248,190
111511,Noah Rubin,USA,210,236
105166,Peter Polansky,CAN,184,279
200368,Jack Mingjie Lin,CAN,1318,3
105015,Franko Skugor,CRO,706,26
133297,Yosuke Watanuki,JPN,263,169
106005,Constant Lestienne,FRA,204,246
126204,Gerardo Lopez Villasenor,MEX,515,54
105943,Federico Gaio,ITA,152,347
207182,Emilio Nava,USA,944,11
124079,Pedro Martinez,ESP,170,300
106203,Pedro Sakamoto,BRA,308,130
105385,Donald Young,USA,230,210
106353,Pedja Krstin,SRB,246,193
200031,Lucas Catarina,MON,504,58
200218,Mate Valkusz,HUN,532,50
111795,Filippo Baldi,ITA,241,198
109640,Andrea Basso,ITA,564,44
126523,Bernabe Zapata Miralles,ESP,200,252
126125,Maxime Janvier,FRA,206,240
105641,Blaz Rola,SLO,145,370
124186,Alexandre Muller,FRA,234,205
111460,Quentin Halys,FRA,220,222
106072,Alexey Vatutin,RUS,212,233
105870,Yannick Hanfmann,GER,172,294
105217,Thiemo De Bakker,NED,511,55
200514,Jurij Rodionov,AUT,299,134
105634,Viktor Galovic,ITA,250,189
121531,Mats Moraing,GER,187,270
104868,James Ward,GBR,318,126
144985,Ergi Kirkin,TUR,495,60
111574,Jc Aragone,USA,275,150
206703,Paul Jubb,GBR,500,58
105063,Andrea Arnaboldi,ITA,310,128
106032,Facundo Arguello,ARG,295,137
202400,Alastair Gray,GBR,1082,7
105091,Peter Torebko,GER,337,116
103990,Tommy Robredo,ESP,205,244
144817,Marc Andrea Huesler,SUI,277,148
109699,Julian Lenz,GER,233,208
111576,Sumit Nagal,IND,130,423
127157,Daniel Altmaier,GER,279,145
111192,Lucas Miedler,AUT,270,158
111515,Thai Son Kwiatkowski,USA,243,196
111453,Mikael Torpegaard,DEN,168,303
104804,Amir Weintraub,ISR,0,0
106031,Raymond Sarmiento,USA,561,45
208260,Zachary Svajda,USA,914,12
104735,Tobias Kamke,GER,242,196
124014,Ernesto Escobedo,USA,224,218
144946,Rayane Roumane,FRA,364,102
104970,Matteo Viola,ITA,225,217
104534,Dudi Sela,ISR,142,373
105339,Yan Bai,CHN,215,229
105585,Ze Zhang,CHN,356,107
208230,Alibek Kachmazov,RUS,892,13
144984,Artem Dubrivnyy,RUS,399,89
105254,Nikola Mektic,CRO,0,0
127339,Borna Gojo,CRO,276,149
122298,Botic van de Zandschulp,NED,198,257
110778,Joao Menezes,BRA,189,266
104656,Haydn Lewis,BAR,0,0
106232,Roberto Cid,DOM,258,178
105899,Martin Cuevas,URU,523,52
200526,Juan Lugo,VEN,0,0
105334,Luis David Martinez,VEN,0,0
200273,Hady Habib,LIB,750,22
126939,Khumoun Sultanov,UZB,330,117
