tourney_name,surface,tourney_level,date,winner_id,winner_name,winner_state,loser_id,loser_name,loser_state,winner_rank,winner_points,loser_rank,loser_points
Australian Open,Hard,G,2019-01-14,100644,Alexander Zverev,GER,106109,Alex Bolt,AUS,7,3345,159,328
Australian Open,Hard,G,2019-01-14,106298,Lucas Pouille,FRA,200615,Alexei Popyrin,AUS,22,1600,97,585
Australian Open,Hard,G,2019-01-14,104259,Philipp Kohlschreiber,GER,104810,Zhe Li,CHN,79,665,193,261
Australian Open,Hard,G,2019-01-14,106109,Alex Bolt,AUS,106058,Jack Sock,USA,159,328,0,0
Australian Open,Hard,G,2019-01-14,105341,Thomas Fabbiano,ITA,106186,Jason Kubler,AUS,114,482,261,172
Australian Open,Hard,G,2019-01-14,106045,Denis Kudla,USA,117360,Marc Polmans,AUS,113,491,134,417
Australian Open,Hard,G,2019-01-14,104745,Rafael Nadal,ESP,105051,Matthew Ebden,AUS,1,9985,244,195
Australian Open,Hard,G,2019-01-14,104745,Rafael Nadal,ESP,104607,Tomas Berdych,CZE,1,9985,0,0
Australian Open,Hard,G,2019-01-14,104745,Rafael Nadal,ESP,126207,Frances Tiafoe,USA,1,9985,47,1050
Australian Open,Hard,G,2019-01-14,103819,Roger Federer,SUI,104797,Denis Istomin,UZB,3,6590,177,288
Australian Open,Hard,G,2019-01-14,103819,Roger Federer,SUI,126203,Taylor Fritz,USA,3,6590,32,1315
Australian Open,Hard,G,2019-01-14,100644,Alexander Zverev,GER,105379,Aljaz Bedene,SLO,7,3345,58,905
Australian Open,Hard,G,2019-01-14,100644,Alexander Zverev,GER,104871,Jeremy Chardy,FRA,7,3345,51,990
Australian Open,Hard,G,2019-01-14,104731,Kevin Anderson,RSA,105173,Adrian Mannarino,FRA,91,610,43,1111
Australian Open,Hard,G,2019-01-14,105227,Marin Cilic,CRO,106071,Bernard Tomic,AUS,39,1165,185,273
Australian Open,Hard,G,2019-01-14,105227,Marin Cilic,CRO,111456,Mackenzie McDonald,USA,39,1165,129,425
Australian Open,Hard,G,2019-01-14,106233,Dominic Thiem,AUT,105332,Benoit Paire,FRA,4,5825,24,1538
Australian Open,Hard,G,2019-01-14,105453,Kei Nishikori,JPN,103333,Ivo Karlovic,CRO,13,2180,95,586
Australian Open,Hard,G,2019-01-14,105453,Kei Nishikori,JPN,105311,Joao Sousa,POR,13,2180,60,891
Australian Open,Hard,G,2019-01-14,111575,Karen Khachanov,RUS,105376,Peter Gojowczyk,GER,17,1840,117,473
